cmaEs	differentialEvolution	es-0.02	es-0.25	es-0.5	ga-0.02	ga-0.25	ga-0.5	pso
360	765	630	1080	9930	1600	2100	9600	3100
360	540	480	1230	9930	1600	8100	9600	2100
360	615	630	1080	9930	1600	1600	9600	2600
420	540	630	2130	9930	2100	3600	9600	2100
360	690	630	1230	9930	1600	9600	9600	1600
240	615	630	930	9930	1600	1600	9600	2100
420	765	630	930	9930	1600	3600	9600	2600
360	540	630	330	9930	1600	5600	9600	2100
420	540	630	5430	9930	1600	3600	9600	2600
420	690	630	780	9930	1600	7600	9600	2600
300	765	630	1380	9930	1600	9600	9600	2600
420	765	630	630	9930	1600	9600	9600	2600
360	690	630	1980	9930	1600	6600	9600	2600
360	540	480	480	9930	1600	9600	9600	1600
420	540	480	930	9930	1600	8100	9600	2600
360	615	630	2130	9930	1600	3100	9600	2100
840	9990	8130	2430	1980	9600	7100	9600	9100
840	9990	8130	2580	2430	9600	7600	8100	6100
960	9990	7980	2430	2280	9600	7100	7600	7600
900	9990	7830	2430	2280	9600	7100	9600	5600
960	9990	7980	2430	1830	9600	7100	8100	7600
960	9990	7980	2430	2580	9600	7100	7100	8600
900	9990	7830	2430	2130	9600	7100	8600	6100
900	9990	7830	2430	2130	9600	7100	7600	8600
840	9990	7830	2430	1830	9600	7100	9600	9600
840	9990	7830	2430	1980	9600	7100	7100	6600
780	9990	7980	2430	2880	9600	7100	8100	8100
900	9990	8130	2430	1980	9600	7100	6600	5100
780	9990	7830	2280	1830	9600	7100	7100	6100
900	9990	7980	2430	2730	9600	7100	8100	9600
1020	9990	8130	2430	2430	9600	7100	7100	7100
840	9990	7680	2430	1680	9600	7100	6100	6600
840	9990	7830	2580	1980	9600	7100	7600	6600
960	9990	7830	2580	2130	9600	6600	9600	8100
840	9990	7830	2580	2280	9600	7100	8100	7600
840	9990	7980	2430	1980	9600	7100	9600	7100
900	9990	8130	2580	1980	9600	7100	6600	7600
900	9990	7980	2580	1980	9600	6600	6100	7600
900	9990	7980	2430	1980	9600	7100	6100	9600
900	9990	7830	2430	2130	9600	7100	9600	8600
840	9990	7830	2430	2430	9600	7100	7100	4100
840	9990	7830	2280	2430	9600	7100	8600	6600
840	9990	7830	2430	2430	9600	7100	6600	7100
900	9990	7830	2280	2580	9600	7100	6100	7100
960	9990	7980	2430	2430	9600	7100	7100	9600
900	9990	7830	2430	1980	9600	7100	6100	9600
380	1815	630	480	9930	2100	3100	9600	9600
380	1515	630	630	9930	2100	3600	9600	9600
570	1290	630	630	9930	2100	3100	9600	9600
665	1965	630	630	9930	2100	3100	9600	9600
